Price,Date,Close,High,Low,Open,Volume
Ticker,,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS
0,2007-10-05,32.385581970214844,35.250708662549606,26.76800292891584,28.908800170638344,855215656
1,2007-10-08,30.727663040161133,33.480114477967994,30.534507710663725,33.480114477967994,126671715
2,2007-10-09,32.82017517089844,33.10990603070133,29.085854182395227,30.743762670622203,116725709
3,2007-10-10,33.125999450683594,33.80204096867718,32.83626861907928,33.67327001215155,67931378
4,2007-10-11,36.82814025878906,38.63091684391881,32.83628062724405,38.63091684391881,106320954
5,2007-10-12,36.586692810058594,37.95487064587003,35.733594562180855,36.05551875884237,99410791
6,2007-10-15,37.0695686340332,37.56855361773639,36.747644528305386,37.34320499717687,41814972
7,2007-10-16,40.85218048095703,41.49603311559861,36.860322090982606,37.11785965173882,138614496
8,2007-10-17,44.03923416137695,45.06938880023695,34.156159031125945,36.69936107341818,204876259
9,2007-10-18,42.493988037109375,48.11156507806141,40.6751178265235,44.747456636582996,146617799
10,2007-10-19,42.3491325378418,44.071427583227674,40.24052677272194,41.52822335000101,110266491
11,2007-10-22,41.7857666015625,43.089557680577606,40.40149011755646,41.49603573582313,72253405
12,2007-10-23,44.76356506347656,45.16597025685034,42.81592130772198,42.81592130772198,74594921
13,2007-10-24,44.07143020629883,46.19613055854366,43.57244513307889,45.71323994694737,63055170
14,2007-10-25,43.97483825683594,45.00499704352196,38.840147513357465,42.57446765712592,34522489
15,2007-10-26,45.29475021362305,46.019079740291254,43.54026139136486,44.74747726914521,62370025
16,2007-10-29,46.21221923828125,47.322859209879695,45.80981408427824,46.03516271707007,43657697
17,2007-10-30,47.24238967895508,48.513987655315326,45.45570774043734,46.83998442699745,79921711
18,2007-10-31,48.22425079345703,49.28660314729394,47.322864886906835,47.48382696781765,44655368
19,2007-11-01,47.14580154418945,49.7855812813992,46.759495189772004,49.415369387691605,50632492
20,2007-11-02,47.99889373779297,48.28862892585344,45.0693835043631,45.43959971880145,32001693
21,2007-11-05,48.98076248168945,50.05920905563524,47.67696729836697,47.96670247224413,38833135
22,2007-11-06,49.62461853027344,52.763378903079875,48.94857696131693,49.83386834851875,81880281
23,2007-11-07,48.900291442871094,51.25033603130588,47.80575018752306,50.542105509081054,33593141
24,2007-11-08,48.06329345703125,49.36708906093631,47.00094536470238,47.644793751902014,27990521
25,2007-11-12,49.22220993041992,50.09140679667139,45.343021683779455,46.61462369804081,35153735
26,2007-11-13,50.397239685058594,51.411299937604646,48.46569468349432,50.05922105633523,43830531
27,2007-11-14,49.73728561401367,51.990754271646175,49.47974371903069,51.28251951841168,36738579
28,2007-11-15,50.574310302734375,51.45960193168666,49.624632081489395,50.670885824796635,29242252
29,2007-11-16,50.22016906738281,51.362997793187525,49.640703109462684,50.34893782479571,18895294
30,2007-11-19,52.03905487060547,53.92231215880058,50.976706844636965,51.36301323300003,40716718
31,2007-11-20,51.2342529296875,53.27847264348649,50.60649894077127,51.829813622642966,26342171
32,2007-11-21,47.24238967895508,51.84590401479979,46.099556143569544,51.54007864313785,26814499
33,2007-11-22,45.61666488647461,48.64275554561221,43.63683213516187,46.74339946957343,34096185
34,2007-11-23,48.64274978637695,48.93248062873772,45.906390327885084,48.61055650025344,27664090
35,2007-11-26,49.02906036376953,50.445525778408005,48.64275399598222,50.445525778408005,20159123
36,2007-11-27,47.821842193603516,49.86606134921132,47.3228615247812,49.86606134921132,20573198
37,2007-11-28,47.11359405517578,49.09343044449861,46.79167000700939,48.86808186423239,16435311
38,2007-11-29,45.84201431274414,48.546176483920384,45.246453721345695,48.28863889290399,25530967
39,2007-11-30,47.612579345703125,47.90231011818801,46.0351523698415,46.67900047152987,18437721
40,2007-12-03,48.28864288330078,48.884203523914174,47.821851048836564,48.1920630039066,16851227
41,2007-12-04,47.66087341308594,49.01295635284191,47.30675603682842,48.61055123581632,14008727
42,2007-12-05,49.56022262573242,49.73728348966601,47.64477696838109,47.74135244589048,27725290
43,2007-12-06,48.64274978637695,51.39519933836742,48.01499598928242,50.63867676315426,24104710
44,2007-12-07,48.433494567871094,49.640710023717816,47.56430205948667,48.94857403564077,11742386
45,2007-12-10,48.481788635253906,49.077344791066345,47.85403482633609,48.90028826361544,8330010
46,2007-12-11,48.256439208984375,49.19001831069985,48.01499611200405,48.916381927513726,11685950
47,2007-12-12,48.22425079345703,48.65884928519141,47.322864886906835,47.64478904872846,16342131
48,2007-12-13,47.4194450378418,48.93249049329075,47.24238847803187,48.288642106525465,14620172
49,2007-12-14,46.95264434814453,47.693072472987815,46.71120124868215,47.258474020680424,10991851
50,2007-12-17,44.119712829589844,47.48382169350443,43.45976575133426,47.22627977282832,19355678
51,2007-12-18,43.92656326293945,45.391316482791034,42.558385547069484,43.62073355637107,21607783
52,2007-12-19,43.12174987792969,45.72933633634023,42.75153798294486,45.34302561421434,19526912
53,2007-12-20,42.6871452331543,44.03922819866316,42.49398990002802,43.685110815660835,17105204
54,2007-12-24,43.9909553527832,44.68309152833992,42.97689060209086,43.33100810500116,16711519
55,2007-12-26,45.32692337036133,45.87419607167151,44.232382334115904,44.232382334115904,20930094
56,2007-12-27,45.648860931396484,46.90436438363176,45.26255016161199,46.26051601157508,44565277
57,2007-12-28,46.00297164916992,46.19612700567801,45.069388153776785,45.552274361859205,18354518
58,2007-12-31,46.34099197387695,46.61462837525484,45.777624710136024,46.35709080123785,11982308
59,2008-01-01,47.194091796875,47.6286902892337,46.1478382694517,46.5824367618104,16687746
60,2008-01-02,46.93653869628906,47.54819352913941,46.244402849474874,47.194076194423594,13437280
61,2008-01-03,48.86809158325195,49.06124692384192,46.08344888607014,46.64681608240534,31815218
62,2008-01-04,48.61054992675781,50.22017035151388,48.28862584180659,49.57632218161145,28011310
63,2008-01-07,48.20816421508789,49.31880013516213,47.693084598670445,48.30473973287639,15858063
64,2008-01-08,46.56633758544922,48.93248081194273,46.00297035849245,48.25643926631952,13282666
65,2008-01-09,45.8259162902832,46.82388211418148,45.71324195484086,46.61463227200348,13113527
66,2008-01-10,44.731361389160156,47.32285285262935,44.42553176665222,46.035156532806084,18023003
67,2008-01-11,45.40742111206055,45.842019668251844,43.62073912913556,45.34303452359645,11629440
68,2008-01-14,46.099544525146484,46.58243070579431,44.76356029862923,45.487889569600966,10264240
69,2008-01-15,44.69917297363281,47.03312280737536,44.32896111465905,46.839971831476184,11558334
70,2008-01-16,43.781681060791016,44.74745324449783,42.67104566935291,44.377241447351786,14834065
71,2008-01-17,44.956729888916016,45.954695851740155,43.00908572335765,43.942665095144086,16169395
72,2008-01-18,42.864219665527344,44.63480277418827,42.49400334061527,44.586510650850926,13254156
73,2008-01-21,35.57262420654297,42.49399282814056,30.9852032857848,42.49399282814056,33202389
74,2008-01-22,31.999267578125,33.80204364681696,25.415917126882906,32.06365196989518,58755707
75,2008-01-23,35.57262420654297,36.94080172476575,32.51434504816264,32.51434504816264,28425991
76,2008-01-24,35.65310287475586,38.18020793778027,33.96300134657952,37.48807199475449,29911930
77,2008-01-25,37.48808288574219,37.66513944596316,35.97503742678064,37.34321525183316,12550722
78,2008-01-28,37.89049530029297,38.18022625657479,33.96301764196597,36.97301030008623,13601109
79,2008-01-29,37.26272964477539,38.53433180257836,36.699362373967254,37.98705899295728,7679877
80,2008-01-30,35.20241928100586,37.50417633343792,34.73562746560564,37.343214240731115,9016102
81,2008-01-31,32.90065383911133,35.66920218469349,32.51434532612463,35.57262451064989,41538563
82,2008-02-01,34.04348373413086,34.284926819247026,33.15819242203822,33.46401989321452,9089201
83,2008-02-04,35.797977447509766,36.216479322068366,34.687339452741696,34.687339452741696,12009385
84,2008-02-05,36.90861129760742,37.39149751790569,35.089740741092406,35.8623578202945,14593303
85,2008-02-06,36.586692810058594,37.021291348826914,34.54247547117089,35.89455666051161,12429218
